# emoji-sequences.txt
# Date: 2019-01-15, 12:17:16 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 12.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following: 
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       Emoji_Flag_Sequence
#       Emoji_Tag_Sequence
#       Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji              ; watch                                                          #  1.1  [2] (⌚..⌛)
23E9..23EC    ; Basic_Emoji              ; fast-forward button                                            #  6.0  [4] (⏩..⏬)
23F0          ; Basic_Emoji              ; alarm clock                                                    #  6.0  [1] (⏰)
23F3          ; Basic_Emoji              ; hourglass not done                                             #  6.0  [1] (⏳)
25FD..25FE    ; Basic_Emoji              ; white medium-small square                                      #  3.2  [2] (◽..◾)
2614..2615    ; Basic_Emoji              ; umbrella with rain drops                                       #  4.0  [2] (☔..☕)
2648..2653    ; Basic_Emoji              ; Aries                                                          #  1.1 [12] (♈..♓)
267F          ; Basic_Emoji              ; wheelchair symbol                                              #  4.1  [1] (♿)
2693          ; Basic_Emoji              ; anchor                                                         #  4.1  [1] (⚓)
26A1          ; Basic_Emoji              ; high voltage                                                   #  4.0  [1] (⚡)
26AA..26AB    ; Basic_Emoji              ; white circle                                                   #  4.1  [2] (⚪..⚫)
26BD..26BE    ; Basic_Emoji              ; soccer ball                                                    #  5.2  [2] (⚽..⚾)
26C4..26C5    ; Basic_Emoji              ; snowman without snow                                           #  5.2  [2] (⛄..⛅)
26CE          ; Basic_Emoji              ; Ophiuchus                                                      #  6.0  [1] (⛎)
26D4          ; Basic_Emoji              ; no entry                                                       #  5.2  [1] (⛔)
26EA          ; Basic_Emoji              ; church                                                         #  5.2  [1] (⛪)
26F2..26F3    ; Basic_Emoji              ; fountain                                                       #  5.2  [2] (⛲..⛳)
26F5          ; Basic_Emoji              ; sailboat                                                       #  5.2  [1] (⛵)
26FA          ; Basic_Emoji              ; tent                                                           #  5.2  [1] (⛺)
26FD          ; Basic_Emoji              ; fuel pump                                                      #  5.2  [1] (⛽)
2705          ; Basic_Emoji              ; check mark button                                              #  6.0  [1] (✅)
270A..270B    ; Basic_Emoji              ; raised fist                                                    #  6.0  [2] (✊..✋)
2728          ; Basic_Emoji              ; sparkles                                                       #  6.0  [1] (✨)
274C          ; Basic_Emoji              ; cross mark                                                     #  6.0  [1] (❌)
274E          ; Basic_Emoji              ; cross mark button                                              #  6.0  [1] (❎)
2753..2755    ; Basic_Emoji              ; question mark                                                  #  6.0  [3] (❓..❕)
2757          ; Basic_Emoji              ; exclamation mark                                               #  5.2  [1] (❗)
2795..2797    ; Basic_Emoji              ; plus sign                                                      #  6.0  [3] (➕..➗)
27B0          ; Basic_Emoji              ; curly loop                                                     #  6.0  [1] (➰)
27BF          ; Basic_Emoji              ; double curly loop                                              #  6.0  [1] (➿)
2B1B..2B1C    ; Basic_Emoji              ; black large square                                             #  5.1  [2] (⬛..⬜)
2B50          ; Basic_Emoji              ; star                                                           #  5.1  [1] (⭐)
2B55          ; Basic_Emoji              ; hollow red circle                                              #  5.2  [1] (⭕)
1F004         ; Basic_Emoji              ; mahjong red dragon                                             #  5.1  [1] (🀄)
1F0CF         ; Basic_Emoji              ; joker                                                          #  6.0  [1] (🃏)
1F18E         ; Basic_Emoji              ; AB button (blood type)                                         #  6.0  [1] (🆎)
1F191..1F19A  ; Basic_Emoji              ; CL button                                                      #  6.0 [10] (🆑..🆚)
1F201         ; Basic_Emoji              ; Japanese “here” button                                         #  6.0  [1] (🈁)
1F21A         ; Basic_Emoji              ; Japanese “free of charge” button                               #  5.2  [1] (🈚)
1F22F         ; Basic_Emoji              ; Japanese “reserved” button                                     #  5.2  [1] (🈯)
1F232..1F236  ; Basic_Emoji              ; Japanese “prohibited” button                                   #  6.0  [5] (🈲..🈶)
1F238..1F23A  ; Basic_Emoji              ; Japanese “application” button                                  #  6.0  [3] (🈸..🈺)
1F250..1F251  ; Basic_Emoji              ; Japanese “bargain” button                                      #  6.0  [2] (🉐..🉑)
1F300..1F320  ; Basic_Emoji              ; cyclone                                                        #  6.0 [33] (🌀..🌠)
1F32D..1F32F  ; Basic_Emoji              ; hot dog                                                        #  8.0  [3] (🌭..🌯)
1F330..1F335  ; Basic_Emoji              ; chestnut                                                       #  6.0  [6] (🌰..🌵)
1F337..1F37C  ; Basic_Emoji              ; tulip                                                          #  6.0 [70] (🌷..🍼)
1F37E..1F37F  ; Basic_Emoji              ; bottle with popping cork                                       #  8.0  [2] (🍾..🍿)
1F380..1F393  ; Basic_Emoji              ; ribbon                                                         #  6.0 [20] (🎀..🎓)
1F3A0..1F3C4  ; Basic_Emoji              ; carousel horse                                                 #  6.0 [37] (🎠..🏄)
1F3C5         ; Basic_Emoji              ; sports medal                                                   #  7.0  [1] (🏅)
1F3C6..1F3CA  ; Basic_Emoji              ; trophy                                                         #  6.0  [5] (🏆..🏊)
1F3CF..1F3D3  ; Basic_Emoji              ; cricket game                                                   #  8.0  [5] (🏏..🏓)
1F3E0..1F3F0  ; Basic_Emoji              ; house                                                          #  6.0 [17] (🏠..🏰)
1F3F4         ; Basic_Emoji              ; black flag                                                     #  7.0  [1] (🏴)
1F3F8..1F3FF  ; Basic_Emoji              ; badminton                                                      #  8.0  [8] (🏸..🏿)
1F400..1F43E  ; Basic_Emoji              ; rat                                                            #  6.0 [63] (🐀..🐾)
1F440         ; Basic_Emoji              ; eyes                                                           #  6.0  [1] (👀)
1F442..1F4F7  ; Basic_Emoji              ; ear                                                            #  6.0[182] (👂..📷)
1F4F8         ; Basic_Emoji              ; camera with flash                                              #  7.0  [1] (📸)
1F4F9..1F4FC  ; Basic_Emoji              ; video camera                                                   #  6.0  [4] (📹..📼)
1F4FF         ; Basic_Emoji              ; prayer beads                                                   #  8.0  [1] (📿)
1F500..1F53D  ; Basic_Emoji              ; shuffle tracks button                                          #  6.0 [62] (🔀..🔽)
1F54B..1F54E  ; Basic_Emoji              ; kaaba                                                          #  8.0  [4] (🕋..🕎)
1F550..1F567  ; Basic_Emoji              ; one o’clock                                                    #  6.0 [24] (🕐..🕧)
1F57A         ; Basic_Emoji              ; man dancing                                                    #  9.0  [1] (🕺)
1F595..1F596  ; Basic_Emoji              ; middle finger                                                  #  7.0  [2] (🖕..🖖)
1F5A4         ; Basic_Emoji              ; black heart                                                    #  9.0  [1] (🖤)
1F5FB..1F5FF  ; Basic_Emoji              ; mount fuji                                                     #  6.0  [5] (🗻..🗿)
1F600         ; Basic_Emoji              ; grinning face                                                  #  6.1  [1] (😀)
1F601..1F610  ; Basic_Emoji              ; beaming face with smiling eyes                                 #  6.0 [16] (😁..😐)
1F611         ; Basic_Emoji              ; expressionless face                                            #  6.1  [1] (😑)
1F612..1F614  ; Basic_Emoji              ; unamused face                                                  #  6.0  [3] (😒..😔)
1F615         ; Basic_Emoji              ; confused face                                                  #  6.1  [1] (😕)
1F616         ; Basic_Emoji              ; confounded face                                                #  6.0  [1] (😖)
1F617         ; Basic_Emoji              ; kissing face                                                   #  6.1  [1] (😗)
1F618         ; Basic_Emoji              ; face blowing a kiss                                            #  6.0  [1] (😘)
1F619         ; Basic_Emoji              ; kissing face with smiling eyes                                 #  6.1  [1] (😙)
1F61A         ; Basic_Emoji              ; kissing face with closed eyes                                  #  6.0  [1] (😚)
1F61B         ; Basic_Emoji              ; face with tongue                                               #  6.1  [1] (😛)
1F61C..1F61E  ; Basic_Emoji              ; winking face with tongue                                       #  6.0  [3] (😜..😞)
1F61F         ; Basic_Emoji              ; worried face                                                   #  6.1  [1] (😟)
1F620..1F625  ; Basic_Emoji              ; angry face                                                     #  6.0  [6] (😠..😥)
1F626..1F627  ; Basic_Emoji              ; frowning face with open mouth                                  #  6.1  [2] (😦..😧)
1F628..1F62B  ; Basic_Emoji              ; fearful face                                                   #  6.0  [4] (😨..😫)
1F62C         ; Basic_Emoji              ; grimacing face                                                 #  6.1  [1] (😬)
1F62D         ; Basic_Emoji              ; loudly crying face                                             #  6.0  [1] (😭)
1F62E..1F62F  ; Basic_Emoji              ; face with open mouth                                           #  6.1  [2] (😮..😯)
1F630..1F633  ; Basic_Emoji              ; anxious face with sweat                                        #  6.0  [4] (😰..😳)
1F634         ; Basic_Emoji              ; sleeping face                                                  #  6.1  [1] (😴)
1F635..1F640  ; Basic_Emoji              ; dizzy face                                                     #  6.0 [12] (😵..🙀)
1F641..1F642  ; Basic_Emoji              ; slightly frowning face                                         #  7.0  [2] (🙁..🙂)
1F643..1F644  ; Basic_Emoji              ; upside-down face                                               #  8.0  [2] (🙃..🙄)
1F645..1F64F  ; Basic_Emoji              ; person gesturing NO                                            #  6.0 [11] (🙅..🙏)
1F680..1F6C5  ; Basic_Emoji              ; rocket                                                         #  6.0 [70] (🚀..🛅)
1F6CC         ; Basic_Emoji              ; person in bed                                                  #  7.0  [1] (🛌)
1F6D0         ; Basic_Emoji              ; place of worship                                               #  8.0  [1] (🛐)
1F6D1..1F6D2  ; Basic_Emoji              ; stop sign                                                      #  9.0  [2] (🛑..🛒)
1F6D5         ; Basic_Emoji              ; hindu temple                                                   # 12.0  [1] (🛕)
1F6EB..1F6EC  ; Basic_Emoji              ; airplane departure                                             #  7.0  [2] (🛫..🛬)
1F6F4..1F6F6  ; Basic_Emoji              ; kick scooter                                                   #  9.0  [3] (🛴..🛶)
