# emoji-zwj-sequences.txt
# Date: 2016-07-14, 06:58:26 GMT
# © 2016 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequence Catalog for UTR #51
# Version: 4.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   description: (optional) short description of sequence.
# Sequences are listed in code point order. For a more natural order, see the CLDR collation order for Emoji.
# In display and processing, sequences should be supported both with and without FE0F.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; Couple with heart: man, man                                    # 6.0  [1] (👨‍❤️‍👨)
1F468 200D 2764 FE0F 200D 1F48B 200D 1F468  ; Emoji_ZWJ_Sequence  ; Kiss: man, man                                                 # 6.0  [1] (👨‍❤️‍💋‍👨)
1F468 200D 1F468 200D 1F466                 ; Emoji_ZWJ_Sequence  ; Family: man, man, boy                                          # 6.0  [1] (👨‍👨‍👦)
1F468 200D 1F468 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: man, man, boy, boy                                     # 6.0  [1] (👨‍👨‍👦‍👦)
1F468 200D 1F468 200D 1F467                 ; Emoji_ZWJ_Sequence  ; Family: man, man, girl                                         # 6.0  [1] (👨‍👨‍👧)
1F468 200D 1F468 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: man, man, girl, boy                                    # 6.0  [1] (👨‍👨‍👧‍👦)
1F468 200D 1F468 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; Family: man, man, girl, girl                                   # 6.0  [1] (👨‍👨‍👧‍👧)
1F468 200D 1F469 200D 1F466                 ; Emoji_ZWJ_Sequence  ; Family: man, woman, boy                                        # 6.0  [1] (👨‍👩‍👦)
1F468 200D 1F469 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: man, woman, boy, boy                                   # 6.0  [1] (👨‍👩‍👦‍👦)
1F468 200D 1F469 200D 1F467                 ; Emoji_ZWJ_Sequence  ; Family: man, woman, girl                                       # 6.0  [1] (👨‍👩‍👧)
1F468 200D 1F469 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: man, woman, girl, boy                                  # 6.0  [1] (👨‍👩‍👧‍👦)
1F468 200D 1F469 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; Family: man, woman, girl, girl                                 # 6.0  [1] (👨‍👩‍👧‍👧)
1F469 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; Couple with heart: woman, man                                  # 6.0  [1] (👩‍❤️‍👨)
1F469 200D 2764 FE0F 200D 1F469             ; Emoji_ZWJ_Sequence  ; Couple with heart: woman, woman                                # 6.0  [1] (👩‍❤️‍👩)
1F469 200D 2764 FE0F 200D 1F48B 200D 1F468  ; Emoji_ZWJ_Sequence  ; Kiss: woman, man                                               # 6.0  [1] (👩‍❤️‍💋‍👨)
1F469 200D 2764 FE0F 200D 1F48B 200D 1F469  ; Emoji_ZWJ_Sequence  ; Kiss: woman, woman                                             # 6.0  [1] (👩‍❤️‍💋‍👩)
1F469 200D 1F469 200D 1F466                 ; Emoji_ZWJ_Sequence  ; Family: woman, woman, boy                                      # 6.0  [1] (👩‍👩‍👦)
1F469 200D 1F469 200D 1F466 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: woman, woman, boy, boy                                 # 6.0  [1] (👩‍👩‍👦‍👦)
1F469 200D 1F469 200D 1F467                 ; Emoji_ZWJ_Sequence  ; Family: woman, woman, girl                                     # 6.0  [1] (👩‍👩‍👧)
1F469 200D 1F469 200D 1F467 200D 1F466      ; Emoji_ZWJ_Sequence  ; Family: woman, woman, girl, boy                                # 6.0  [1] (👩‍👩‍👧‍👦)
1F469 200D 1F469 200D 1F467 200D 1F467      ; Emoji_ZWJ_Sequence  ; Family: woman, woman, girl, girl                               # 6.0  [1] (👩‍👩‍👧‍👧)

# Total elements: 21

# ================================================

# Emoji ZWJ Sequence: Gendered Role, with object

1F468 200D 2695 FE0F                        ; Emoji_ZWJ_Sequence  ; Male health worker                                             # 6.0  [1] (👨‍⚕️)
1F468 200D 1F33E                            ; Emoji_ZWJ_Sequence  ; Male farmer                                                    # 6.0  [1] (👨‍🌾)
1F468 200D 1F373                            ; Emoji_ZWJ_Sequence  ; Male cook                                                      # 6.0  [1] (👨‍🍳)
1F468 200D 1F393                            ; Emoji_ZWJ_Sequence  ; Male student                                                   # 6.0  [1] (👨‍🎓)
1F468 200D 1F3A4                            ; Emoji_ZWJ_Sequence  ; Male singer                                                    # 6.0  [1] (👨‍🎤)
1F468 200D 1F3EB                            ; Emoji_ZWJ_Sequence  ; Male teacher                                                   # 6.0  [1] (👨‍🏫)
1F468 200D 1F3ED                            ; Emoji_ZWJ_Sequence  ; Male factory worker                                            # 6.0  [1] (👨‍🏭)
1F468 200D 1F4BB                            ; Emoji_ZWJ_Sequence  ; Male technologist                                              # 6.0  [1] (👨‍💻)
1F468 200D 1F4BC                            ; Emoji_ZWJ_Sequence  ; Male office worker                                             # 6.0  [1] (👨‍💼)
1F468 200D 1F527                            ; Emoji_ZWJ_Sequence  ; Male mechanic                                                  # 6.0  [1] (👨‍🔧)
1F468 200D 1F52C                            ; Emoji_ZWJ_Sequence  ; Male scientist                                                 # 6.0  [1] (👨‍🔬)
1F468 1F3FB 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; Male health worker, type-1-2                                   # 8.0  [1] (👨🏻‍⚕️)
1F468 1F3FB 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; Male farmer, type-1-2                                          # 8.0  [1] (👨🏻‍🌾)
1F468 1F3FB 200D 1F373                      ; Emoji_ZWJ_Sequence  ; Male cook, type-1-2                                            # 8.0  [1] (👨🏻‍🍳)
1F468 1F3FB 200D 1F393                      ; Emoji_ZWJ_Sequence  ; Male student, type-1-2                                         # 8.0  [1] (👨🏻‍🎓)
1F468 1F3FB 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; Male singer, type-1-2                                          # 8.0  [1] (👨🏻‍🎤)
1F468 1F3FB 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; Male teacher, type-1-2                                         # 8.0  [1] (👨🏻‍🏫)
1F468 1F3FB 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; Male factory worker, type-1-2                                  # 8.0  [1] (👨🏻‍🏭)
1F468 1F3FB 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; Male technologist, type-1-2                                    # 8.0  [1] (👨🏻‍💻)
1F468 1F3FB 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; Male office worker, type-1-2                                   # 8.0  [1] (👨🏻‍💼)
1F468 1F3FB 200D 1F527                      ; Emoji_ZWJ_Sequence  ; Male mechanic, type-1-2                                        # 8.0  [1] (👨🏻‍🔧)
1F468 1F3FB 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; Male scientist, type-1-2                                       # 8.0  [1] (👨🏻‍🔬)
1F468 1F3FC 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; Male health worker, type-3                                     # 8.0  [1] (👨🏼‍⚕️)
1F468 1F3FC 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; Male farmer, type-3                                            # 8.0  [1] (👨🏼‍🌾)
1F468 1F3FC 200D 1F373                      ; Emoji_ZWJ_Sequence  ; Male cook, type-3                                              # 8.0  [1] (👨🏼‍🍳)
1F468 1F3FC 200D 1F393                      ; Emoji_ZWJ_Sequence  ; Male student, type-3                                           # 8.0  [1] (👨🏼‍🎓)
1F468 1F3FC 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; Male singer, type-3                                            # 8.0  [1] (👨🏼‍🎤)
1F468 1F3FC 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; Male teacher, type-3                                           # 8.0  [1] (👨🏼‍🏫)
1F468 1F3FC 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; Male factory worker, type-3                                    # 8.0  [1] (👨🏼‍🏭)
1F468 1F3FC 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; Male technologist, type-3                                      # 8.0  [1] (👨🏼‍💻)
1F468 1F3FC 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; Male office worker, type-3                                     # 8.0  [1] (👨🏼‍💼)
1F468 1F3FC 200D 1F527                      ; Emoji_ZWJ_Sequence  ; Male mechanic, type-3                                          # 8.0  [1] (👨🏼‍🔧)
1F468 1F3FC 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; Male scientist, type-3                                         # 8.0  [1] (👨🏼‍🔬)
1F468 1F3FD 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; Male health worker, type-4                                     # 8.0  [1] (👨🏽‍⚕️)
1F468 1F3FD 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; Male farmer, type-4                                            # 8.0  [1] (👨🏽‍🌾)
1F468 1F3FD 200D 1F373                      ; Emoji_ZWJ_Sequence  ; Male cook, type-4                                              # 8.0  [1] (👨🏽‍🍳)
1F468 1F3FD 200D 1F393                      ; Emoji_ZWJ_Sequence  ; Male student, type-4                                           # 8.0  [1] (👨🏽‍🎓)
1F468 1F3FD 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; Male singer, type-4                                            # 8.0  [1] (👨🏽‍🎤)
1F468 1F3FD 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; Male teacher, type-4                                           # 8.0  [1] (👨🏽‍🏫)
1F468 1F3FD 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; Male factory worker, type-4                                    # 8.0  [1] (👨🏽‍🏭)
1F468 1F3FD 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; Male technologist, type-4                                      # 8.0  [1] (👨🏽‍💻)
1F468 1F3FD 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; Male office worker, type-4                                     # 8.0  [1] (👨🏽‍💼)
1F468 1F3FD 200D 1F527                      ; Emoji_ZWJ_Sequence  ; Male mechanic, type-4                                          # 8.0  [1] (👨🏽‍🔧)
1F468 1F3FD 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; Male scientist, type-4                                         # 8.0  [1] (👨🏽‍🔬)
1F468 1F3FE 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; Male health worker, type-5                                     # 8.0  [1] (👨🏾‍⚕️)
1F468 1F3FE 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; Male farmer, type-5                                            # 8.0  [1] (👨🏾‍🌾)
1F468 1F3FE 200D 1F373                      ; Emoji_ZWJ_Sequence  ; Male cook, type-5                                              # 8.0  [1] (👨🏾‍🍳)
1F468 1F3FE 200D 1F393                      ; Emoji_ZWJ_Sequence  ; Male student, type-5                                           # 8.0  [1] (👨🏾‍🎓)
1F468 1F3FE 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; Male singer, type-5                                            # 8.0  [1] (👨🏾‍🎤)
1F468 1F3FE 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; Male teacher, type-5                                           # 8.0  [1] (👨🏾‍🏫)
1F468 1F3FE 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; Male factory worker, type-5                                    # 8.0  [1] (👨🏾‍🏭)
1F468 1F3FE 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; Male technologist, type-5                                      # 8.0  [1] (👨🏾‍💻)
1F468 1F3FE 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; Male office worker, type-5                                     # 8.0  [1] (👨🏾‍💼)
1F468 1F3FE 200D 1F527                      ; Emoji_ZWJ_Sequence  ; Male mechanic, type-5                                          # 8.0  [1] (👨🏾‍🔧)
1F468 1F3FE 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; Male scientist, type-5                                         # 8.0  [1] (👨🏾‍🔬)
1F468 1F3FF 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; Male health worker, type-6                                     # 8.0  [1] (👨🏿‍⚕️)
1F468 1F3FF 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; Male farmer, type-6                                            # 8.0  [1] (👨🏿‍🌾)
1F468 1F3FF 200D 1F373                      ; Emoji_ZWJ_Sequence  ; Male cook, type-6                                              # 8.0  [1] (👨🏿‍🍳)
1F468 1F3FF 200D 1F393                      ; Emoji_ZWJ_Sequence  ; Male student, type-6                                           # 8.0  [1] (👨🏿‍🎓)
1F468 1F3FF 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; Male singer, type-6                                            # 8.0  [1] (👨🏿‍🎤)
1F468 1F3FF 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; Male teacher, type-6                                           # 8.0  [1] (👨🏿‍🏫)
1F468 1F3FF 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; Male factory worker, type-6                                    # 8.0  [1] (👨🏿‍🏭)
1F468 1F3FF 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; Male technologist, type-6                                      # 8.0  [1] (👨🏿‍💻)
1F468 1F3FF 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; Male office worker, type-6                                     # 8.0  [1] (👨🏿‍💼)
1F468 1F3FF 200D 1F527                      ; Emoji_ZWJ_Sequence  ; Male mechanic, type-6                                          # 8.0  [1] (👨🏿‍🔧)
1F468 1F3FF 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; Male scientist, type-6                                         # 8.0  [1] (👨🏿‍🔬)
