# proposed by Roozbeh based on analysis of dingbats fonts
# on 2016/08/23
23E9 FE0E; text style;  # BLACK RIGHT-POINTING DOUBLE TRIANGLE
23E9 FE0F; emoji style; # BLACK RIGHT-POINTING DOUBLE TRIANGLE
23EA FE0E; text style;  # BLACK LEFT-POINTING DOUBLE TRIANGLE
23EA FE0F; emoji style; # BLACK LEFT-POINTING DOUBLE TRIANGLE
23F3 FE0E; text style;  # HOURGLASS WITH FLOWING SAND
23F3 FE0F; emoji style; # HOURGLASS WITH FLOWING SAND
2640 FE0E; text style;  # FEMALE SIGN
2640 FE0F; emoji style; # FEMALE SIGN
2642 FE0E; text style;  # MALE SIGN
2642 FE0F; emoji style; # MALE SIGN
2695 FE0E; text style;  # STAFF OF AESCULAPIUS
2695 FE0F; emoji style; # STAFF OF AESCULAPIUS
2753 FE0E; text style;  # BLACK QUESTION MARK ORNAMENT
2753 FE0F; emoji style; # BLACK QUESTION MARK ORNAMENT
1F30D FE0E; text style;  # EARTH GLOBE EUROPE-AFRICA
1F30D FE0F; emoji style; # EARTH GLOBE EUROPE-AFRICA
1F30E FE0E; text style;  # EARTH GLOBE AMERICAS
1F30E FE0F; emoji style; # EARTH GLOBE AMERICAS
1F30F FE0E; text style;  # EARTH GLOBE ASIA-AUSTRALIA
1F30F FE0F; emoji style; # EARTH GLOBE ASIA-AUSTRALIA
1F315 FE0E; text style;  # FULL MOON SYMBOL
1F315 FE0F; emoji style; # FULL MOON SYMBOL
1F31C FE0E; text style;  # LAST QUARTER MOON WITH FACE
1F31C FE0F; emoji style; # LAST QUARTER MOON WITH FACE
1F378 FE0E; text style;  # COCKTAIL GLASS
1F378 FE0F; emoji style; # COCKTAIL GLASS
1F393 FE0E; text style;  # GRADUATION CAP
1F393 FE0F; emoji style; # GRADUATION CAP
1F3A7 FE0E; text style;  # HEADPHONE
1F3A7 FE0F; emoji style; # HEADPHONE
1F3AC FE0E; text style;  # CLAPPER BOARD
1F3AC FE0F; emoji style; # CLAPPER BOARD
1F3AD FE0E; text style;  # PERFORMING ARTS
1F3AD FE0F; emoji style; # PERFORMING ARTS
1F3AE FE0E; text style;  # VIDEO GAME
1F3AE FE0F; emoji style; # VIDEO GAME
1F3C2 FE0E; text style;  # SNOWBOARDER
1F3C2 FE0F; emoji style; # SNOWBOARDER
1F3C4 FE0E; text style;  # SURFER
1F3C4 FE0F; emoji style; # SURFER
1F3C6 FE0E; text style;  # TROPHY
1F3C6 FE0F; emoji style; # TROPHY
1F3CA FE0E; text style;  # SWIMMER
1F3CA FE0F; emoji style; # SWIMMER
1F3E0 FE0E; text style;  # HOUSE BUILDING
1F3E0 FE0F; emoji style; # HOUSE BUILDING
1F3ED FE0E; text style;  # FACTORY
1F3ED FE0F; emoji style; # FACTORY
1F408 FE0E; text style;  # CAT
1F408 FE0F; emoji style; # CAT
1F415 FE0E; text style;  # DOG
1F415 FE0F; emoji style; # DOG
1F41F FE0E; text style;  # FISH
1F41F FE0F; emoji style; # FISH
1F426 FE0E; text style;  # BIRD
1F426 FE0F; emoji style; # BIRD
1F442 FE0E; text style;  # EAR
1F442 FE0F; emoji style; # EAR
1F446 FE0E; text style;  # WHITE UP POINTING BACKHAND INDEX
1F446 FE0F; emoji style; # WHITE UP POINTING BACKHAND INDEX
1F447 FE0E; text style;  # WHITE DOWN POINTING BACKHAND INDEX
1F447 FE0F; emoji style; # WHITE DOWN POINTING BACKHAND INDEX
1F448 FE0E; text style;  # WHITE LEFT POINTING BACKHAND INDEX
1F448 FE0F; emoji style; # WHITE LEFT POINTING BACKHAND INDEX
1F449 FE0E; text style;  # WHITE RIGHT POINTING BACKHAND INDEX
1F449 FE0F; emoji style; # WHITE RIGHT POINTING BACKHAND INDEX
1F44D FE0E; text style;  # THUMBS UP SIGN
1F44D FE0F; emoji style; # THUMBS UP SIGN
1F44E FE0E; text style;  # THUMBS DOWN SIGN
1F44E FE0F; emoji style; # THUMBS DOWN SIGN
1F453 FE0E; text style;  # EYEGLASSES
1F453 FE0F; emoji style; # EYEGLASSES
1F46A FE0E; text style;  # FAMILY
1F46A FE0F; emoji style; # FAMILY
1F47D FE0E; text style;  # EXTRATERRESTRIAL ALIEN
1F47D FE0F; emoji style; # EXTRATERRESTRIAL ALIEN
1F4A3 FE0E; text style;  # BOMB
1F4A3 FE0F; emoji style; # BOMB
1F4B0 FE0E; text style;  # MONEY BAG
1F4B0 FE0F; emoji style; # MONEY BAG
1F4B3 FE0E; text style;  # CREDIT CARD
1F4B3 FE0F; emoji style; # CREDIT CARD
1F4BB FE0E; text style;  # PERSONAL COMPUTER
1F4BB FE0F; emoji style; # PERSONAL COMPUTER
1F4BF FE0E; text style;  # OPTICAL DISC
1F4BF FE0F; emoji style; # OPTICAL DISC
1F4CB FE0E; text style;  # CLIPBOARD
1F4CB FE0F; emoji style; # CLIPBOARD
1F4DA FE0E; text style;  # BOOKS
1F4DA FE0F; emoji style; # BOOKS
1F4DF FE0E; text style;  # PAGER
1F4DF FE0F; emoji style; # PAGER
1F4E4 FE0E; text style;  # OUTBOX TRAY
1F4E4 FE0F; emoji style; # OUTBOX TRAY
1F4E5 FE0E; text style;  # INBOX TRAY
1F4E5 FE0F; emoji style; # INBOX TRAY
1F4E6 FE0E; text style;  # PACKAGE
1F4E6 FE0F; emoji style; # PACKAGE
1F4EA FE0E; text style;  # CLOSED MAILBOX WITH LOWERED FLAG
1F4EA FE0F; emoji style; # CLOSED MAILBOX WITH LOWERED FLAG
1F4EB FE0E; text style;  # CLOSED MAILBOX WITH RAISED FLAG
1F4EB FE0F; emoji style; # CLOSED MAILBOX WITH RAISED FLAG
1F4EC FE0E; text style;  # OPEN MAILBOX WITH RAISED FLAG
1F4EC FE0F; emoji style; # OPEN MAILBOX WITH RAISED FLAG
1F4ED FE0E; text style;  # OPEN MAILBOX WITH LOWERED FLAG
1F4ED FE0F; emoji style; # OPEN MAILBOX WITH LOWERED FLAG
1F4F7 FE0E; text style;  # CAMERA
1F4F7 FE0F; emoji style; # CAMERA
1F4F9 FE0E; text style;  # VIDEO CAMERA
1F4F9 FE0F; emoji style; # VIDEO CAMERA
1F4FA FE0E; text style;  # TELEVISION
1F4FA FE0F; emoji style; # TELEVISION
1F4FB FE0E; text style;  # RADIO
1F4FB FE0F; emoji style; # RADIO
1F508 FE0E; text style;  # SPEAKER
1F508 FE0F; emoji style; # SPEAKER
1F50D FE0E; text style;  # LEFT-POINTING MAGNIFYING GLASS
1F50D FE0F; emoji style; # LEFT-POINTING MAGNIFYING GLASS
1F512 FE0E; text style;  # LOCK
1F512 FE0F; emoji style; # LOCK
1F513 FE0E; text style;  # OPEN LOCK
1F513 FE0F; emoji style; # OPEN LOCK
1F550 FE0E; text style;  # CLOCK FACE ONE OCLOCK
1F550 FE0F; emoji style; # CLOCK FACE ONE OCLOCK
1F551 FE0E; text style;  # CLOCK FACE TWO OCLOCK
